# Wordlist

# DATA
ID	CONCEPT	COUNTERPART	DOCULECT	COGID	TOKENS	IPA
886	*fōdran	Futter	German	244	f ʊ t ə r	fʊtər
887	*fōdran	fodder	English	244	f ɔ d ə r	fɔdər
888	*fōdran	voer	Dutch	244	v uː r	vuːr
#
16	*gaistaz	*gaistaz	Proto-Germanic	5	g ai s t	gaistaz
17	*gaistaz	Geist	German	5	ɡ ai s t	ɡaist
18	*gaistaz	ghost	English	5	ɡ əʊ s t	ɡəʊst
#
745	*gallan	*gallan	Proto-Germanic	205	g a ll	gallan
746	*gallan	Galle	German	205	ɡ a l ə	ɡalə
747	*gallan	gall	English	205	ɡ ɔː l	ɡɔːl
748	*gallan	gal	Dutch	205	x ɑ l	xɑl
#
